movie_title,tmdb_id,review_count,letterboxd_rating
The Damned,850439,62,
Us,458723,59,
Child's Play,10585,58,
Lamb,788929,56,
Intruder,31150,56,
House,25623,55,
Scream,646385,52,1.93 out of 5
X,760104,51,
Sweetheart,463843,50,
The Ring,565,49,
Pearl,949423,48,
Lucky,670426,48,2.71 out of 5
Jack Frost,27318,46,2.39 out of 5
Hush,376570,44,
Fresh,787752,40,3.18 out of 5
Monolith,1024721,39,2.37 out of 5
Frogs,18274,39,2.41 out of 5
Lost Hearts,72221,38,
The Golem,532635,37,2.68 out of 5
The Offering,955991,37,
Alone in the Dark,40952,36,1.35 out of 5
Siege,40169,35,
The Gate,6917,34,3.16 out of 5
Tremors,9362,33,
Viy,57230,31,
Carrie,7340,30,3.58 out of 5
The Convent,12724,30,2.38 out of 5
Equinox,28681,30,
Y2K,1094274,30,2.48 out of 5
Deep Red,20126,29,2.94 out of 5
Slugs,28452,29,3.04 out of 5
Children of the Corn,10823,29,1.72 out of 5
Phenomena,29161,29,
Orca,12707,29,
My Bloody Valentine,39874,28,2.43 out of 5
Halloween,948,28,2.77 out of 5
Ludo,349138,28,2.05 out of 5
Moloch,959558,27,
Creep,250574,27,
Candyman,565028,26,3.05 out of 5
Willard,42532,25,3.14 out of 5
The Thing,1091,24,2.75 out of 5
Omen,203946,24,
Night of the Living Dead,19185,24,
The Medium,745881,24,
Communion,28774,23,
Incantation,864370,22,3.24 out of 5
Black Christmas,551808,22,1.79 out of 5
The Fog,790,22,
The Boogeyman,532408,22,
The Descent,9392,21,
Housebound,253306,21,
Down,19058,21,2.58 out of 5
The Happening,8645,20,2.10 out of 5
Dead Ringers,9540,20,3.79 out of 5
The Harbinger,974191,20,2.97 out of 5
The Houses October Built,293572,20,2.64 out of 5
Terror Train,40969,20,2.21 out of 5
The Wicker Man,9708,20,1.97 out of 5
Night Killer,126463,20,2.63 out of 5
Whistle and I'll Come to You,292523,20,3.30 out of 5
Crawl,511987,20,2.87 out of 5
The Lodge,474764,20,
The Lawnmower Man,10163,20,2.62 out of 5
April Fool's Day,24913,20,1.81 out of 5
Vigil,27811,20,3.70 out of 5
They Live,8337,19,
Pet Sematary,8913,19,2.36 out of 5
The Grudge,1970,19,1.74 out of 5
The Amityville Horror,10065,19,2.58 out of 5
Poltergeist,609,19,2.08 out of 5
Terrifier,420634,19,2.70 out of 5
Halloween II,11281,18,2.32 out of 5
Skyline,42684,18,
Host,723072,17,3.19 out of 5
The Blob,9599,17,3.05 out of 5
Darklands,73316,17,
Paranormal Activity,23827,17,
Society,22244,17,
You're Next,83899,15,
Don't Breathe,300669,14,
Event Horizon,8413,14,
Wrong Turn,630586,13,2.81 out of 5
Oddity,1216191,13,
Hansel & Gretel,25597,13,
It's a Wonderful Knife,1113278,13,2.45 out of 5
Slender Man,439015,13,
Kwaidan,30959,12,
Annihilation,300668,12,
Girl on the Third Floor,580630,12,2.32 out of 5
Haunt,517116,11,
Censor,663866,11,
Soul Survivors,14033,11,1.99 out of 5
A Tale of Two Sisters,4552,11,
Dead Girls,119558,11,2.69 out of 5
A Nightmare on Elm Street Part 2: Freddy's Revenge,10014,10,2.82 out of 5
Bride of Frankenstein,229,10,
Return of the Living Dead Part II,24929,10,2.82 out of 5
C.H.U.D.,23730,10,2.82 out of 5
Final Destination 5,55779,10,2.83 out of 5
The Final Terror,4288,10,2.81 out of 5
Slaughter High,27886,10,2.78 out of 5
A Ghost Story for Christmas: Lot No. 249,1194909,10,2.75 out of 5
Terrifier 2,663712,10,2.73 out of 5
Halloween H20: 20 Years Later,11675,10,2.83 out of 5
Friday the 13th Part III,9728,10,2.71 out of 5
The People Under the Stairs,13122,10,
A Warning to the Curious,109157,10,
Gate II,40729,10,2.67 out of 5
Blood Quantum,592230,10,3.02 out of 5
Motel Hell,30924,10,3.02 out of 5
The Bay,123105,10,
The Devonsville Terror,98012,10,3.01 out of 5
Happy Death Day,440021,10,3.01 out of 5
Slash/Back,934194,10,3.00 out of 5
The Return of the Living Dead,10925,10,3.81 out of 5
Body Melt,22455,10,2.97 out of 5
The Peanut Butter Solution,19425,10,2.96 out of 5
Ghostwatch,46633,10,3.84 out of 5
Wishmaster,10351,10,2.95 out of 5
She Will,852485,10,2.95 out of 5
An American Werewolf in London,814,10,3.84 out of 5
Dawn of the Dead,924,10,3.42 out of 5
Vampires vs. the Bronx,567971,10,2.89 out of 5
What Keeps You Alive,503752,10,2.88 out of 5
Predator 2,169,10,2.87 out of 5
Wake in Fright,26405,10,
One Cut of the Dead,513434,10,4.06 out of 5
The Fourth Kind,22824,10,2.64 out of 5
Infested,1063879,10,2.70 out of 5
Eyes of Fire,72349,10,3.42 out of 5
Relic,539181,10,3.15 out of 5
Damien - Omen II,10766,10,2.91 out of 5
Cathy's Curse,106774,10,2.73 out of 5
Jaws 2,579,10,2.72 out of 5
Frogman,1139937,10,
Studio 666,895744,10,2.70 out of 5
We Summon the Darkness,546724,10,2.54 out of 5
Halloween: Resurrection,11442,10,1.62 out of 5
The Endless,430231,10,3.31 out of 5
I Blame Society,662903,10,3.18 out of 5
Tremors 2: Aftershocks,11069,10,2.91 out of 5
Starve Acre,933090,10,2.89 out of 5
Bad Ben,881502,10,2.86 out of 5
In the Earth,748853,10,2.83 out of 5
Horror in the High Desert,805682,10,2.81 out of 5
I'll Always Know What You Did Last Summer,3602,10,1.37 out of 5
A Nightmare on Elm Street,377,10,2.13 out of 5
The Demons of Ludlow,114619,10,2.63 out of 5
Consecration,884184,10,2.42 out of 5
The Final Conflict,10768,10,2.58 out of 5
The Pope's Exorcist,758323,10,2.57 out of 5
Brainscan,14237,10,3.02 out of 5
Cheerleader Camp,40087,10,2.51 out of 5
The Beyond,19204,10,2.50 out of 5
Halloween Kills,610253,10,2.48 out of 5
Amityville: The Evil Escapes,55377,10,2.46 out of 5
Blair Witch,351211,10,2.41 out of 5
Halloween Ends,616820,10,2.13 out of 5
I Still Know What You Did Last Summer,3600,10,2.40 out of 5
What We Do in the Shadows,246741,10,4.12 out of 5
Ghoulies,18498,10,2.37 out of 5
Leprechaun,11811,10,2.36 out of 5
Blood Beach,37843,10,2.35 out of 5
Zombeavers,254474,10,2.31 out of 5
47 Meters Down: Uncaged,480105,10,2.16 out of 5
Cold Prey,21786,10,3.02 out of 5
Needful Things,10657,10,3.04 out of 5
The Mangler,13559,10,2.68 out of 5
Killer Klowns from Outer Space,16296,10,3.35 out of 5
The House of the Devil,25983,10,3.31 out of 5
The Legend of Hell House,16180,10,3.32 out of 5
Dial Code Santa Claus,46959,10,3.34 out of 5
Fréwaka,1189735,10,3.34 out of 5
Slaughterbots,488589,10,3.43 out of 5
His House,575774,10,3.43 out of 5
The Evil Dead,764,10,3.66 out of 5
The Shout,48131,10,
Critters,3980,10,3.04 out of 5
Scream 4,41446,10,3.34 out of 5
Ginger Snaps,9871,10,
A Nightmare on Elm Street 3: Dream Warriors,10072,10,3.53 out of 5
When Evil Lurks,744857,10,3.53 out of 5
The Faculty,9276,10,
Night of the Comet,18462,10,3.29 out of 5
Impetigore,572468,10,3.37 out of 5
Daughters of Darkness,46175,10,
Lonely Water,1147875,10,3.63 out of 5
The Cabin in the Woods,22970,10,3.39 out of 5
Noroi: The Curse,21506,10,3.63 out of 5
Exhuma,838209,10,3.59 out of 5
Prince of Darkness,8852,10,3.58 out of 5
Evil Dead,109428,10,3.40 out of 5
Witchfinder General,31965,10,3.41 out of 5
Tales from the Crypt: Demon Knight,9059,10,3.42 out of 5
Hiruko the Goblin,38405,10,3.42 out of 5
Possessor,435615,10,3.57 out of 5
Wild Zero,16231,10,3.57 out of 5
From Beyond the Grave,48014,10,3.29 out of 5
Gremlins 2: The New Batch,928,10,3.51 out of 5
All Cheerleaders Die,210908,10,2.82 out of 5
Kill List,74725,10,3.45 out of 5
Terrified,489430,10,2.80 out of 5
The Boxer's Omen,49239,10,3.78 out of 5
Enys Men,740049,10,3.06 out of 5
Return of the Living Dead III,28260,10,3.06 out of 5
#Alive,614696,10,3.08 out of 5
Hell House LLC,359246,10,3.08 out of 5
Midsommar,530385,10,3.76 out of 5
Little Nemo: Adventures in Slumberland,22611,10,3.48 out of 5
"Suffer, Little Children",216187,10,3.08 out of 5
The Frighteners,10779,10,3.46 out of 5
Hellbender,848886,10,3.11 out of 5
Xtro,25834,10,3.14 out of 5
Knife+Heart,475930,10,3.55 out of 5
Tumbbad,538858,10,3.68 out of 5
Hagazussa,466565,10,3.20 out of 5
Dark Night of the Scarecrow,30931,10,3.27 out of 5
Nightbreed,20481,10,3.27 out of 5
Deadstream,886083,10,3.27 out of 5
Night of the Creeps,15762,10,3.50 out of 5
Slither,9035,10,3.22 out of 5
The 'Burbs,11974,10,3.45 out of 5
In Fabric,475220,10,3.21 out of 5
Drag Me to Hell,16871,10,3.19 out of 5
WNUF Halloween Special,210842,10,3.19 out of 5
Rare Exports: A Christmas Tale,48395,10,3.19 out of 5
"Kill, Baby... Kill!",28049,9,3.53 out of 5
Spirit,419603,9,
Jennifer's Body,19994,9,3.45 out of 5
The Last Will and Testament of Rosalind Leigh,106717,9,2.87 out of 5
Hellraiser,9003,9,
City of the Living Dead,24920,9,3.45 out of 5
Happy Birthday to Me,37936,9,3.06 out of 5
Let's Scare Jessica to Death,16154,9,3.50 out of 5
Demon Wind,58899,9,2.61 out of 5
Initiation,143948,9,
The Texas Chain Saw Massacre,30497,9,3.81 out of 5
Malum,1094403,9,
Paganini Horror,67183,9,2.53 out of 5
In the Mouth of Madness,2654,9,
The Slumber Party Massacre,27475,9,3.00 out of 5
The Silence of the Lambs,274,9,4.34 out of 5
Paranormal Activity 3,72571,9,2.67 out of 5
Evil Dead II,765,9,4.02 out of 5
Night of the Lepus,38761,9,2.45 out of 5
Bloody Birthday,55538,9,
Nope,762504,9,
Final Destination 2,9358,9,2.93 out of 5
Hello Mary Lou: Prom Night II,39929,9,3.19 out of 5
A Chinese Ghost Story,30421,9,3.75 out of 5
Bloody New Year,30478,8,2.49 out of 5
Disturbing Behavior,9424,7,2.81 out of 5
Saw,176,7,3.65 out of 5
The Hole in the Ground,484437,4,2.72 out of 5
Black Roses,84289,1,
Apostle,424121,1,3.09 out of 5
